"accession_name","block","experiment","location","plot","range","row","seedlot_name","sort","unique_id","trait","value","timestamp","person","location","number","attached_photo","attached_video","attached_audio","device_name"
"Cowpea Phenomenal","1","CP2501","PDREC_F25","106","1","6","HarrisSeed_CowpeaPhenomenal_2025","6","CP2501_106","flowering time","2025-06-12","2025-06-12 13:04:37.835-04:00","Tyler Williams","","1","","","","Palma"
"Top Pick Pinkeye Pea","1","CP2501","PDREC_F28","109","1","9","Hoss_TopPickPinkeyePea_2024","9","CP2501_109","flowering time","2025-06-12","2025-06-12 13:04:42.699-04:00","Tyler Williams","","1","","","","Palma"
"Top Pick Pinkeye Pea","2","CP2501","PDREC_F48","202","2","14","Hoss_TopPickPinkeyePea_2024","29","CP2501_214","flowering time","2025-06-12","2025-06-12 13:04:49.713-04:00","Tyler Williams","","1","","","","Palma"
"Cowpea Phenomenal","3","CP2501","PDREC_F53","304","3","4","HarrisSeed_CowpeaPhenomenal_2025","34","CP2501_304","flowering time","2025-06-12","2025-06-12 13:04:55.443-04:00","Tyler Williams","","1","","","","Palma"
"Top Pick Pinkeye Pea","3","CP2501","PDREC_F60","311","3","11","Hoss_TopPickPinkeyePea_2024","41","CP2501_311","flowering time","2025-06-12","2025-06-12 13:04:59.821-04:00","Tyler Williams","","1","","","","Palma"
"Cowpea Phenomenal","4","CP2501","PDREC_F75","405","4","11","HarrisSeed_CowpeaPhenomenal_2025","56","CP2501_411","flowering time","2025-06-12","2025-06-12 13:05:06.006-04:00","Tyler Williams","","1","","","","Palma"
"Cowpea Phenomenal","2","CP2501","PDREC_F46","204","2","12","HarrisSeed_CowpeaPhenomenal_2025","27","CP2501_212","flowering time","2025-06-12","2025-06-12 13:05:14.374-04:00","Tyler Williams","","1","","","","Palma"
"Top Pick Pinkeye Pea","4","CP2501","PDREC_F72","408","4","8","Hoss_TopPickPinkeyePea_2024","53","CP2501_408","flowering time","2025-06-12","2025-06-12 13:05:21.761-04:00","Tyler Williams","","1","","","","Palma"
"Coronet Pinkeye Purplehull","1","CP2501","PDREC_F20","101","1","1","KellySeedDillon_CoronetPinkeyePurplehull_2024","1","CP2501_101","flowering time","2025-06-13","2025-06-16 10:37:33.027-04:00","Tyler Williams","","1","","","","Palma"
"Ogle Southern Pea","1","CP2501","PDREC_F23","104","1","4","SCCropImprovement_OgleSouthernPea_2025","4","CP2501_104","flowering time","2025-06-14","2025-06-16 10:38:04.566-04:00","Tyler Williams","","1","","","","Palma"
"Knucklehull-VNR","1","CP2501","PDREC_F24","105","1","5","SouthernExposureSeedExchange_Knucklehull-VNR_2025","5","CP2501_105","flowering time","2025-06-14","2025-06-16 10:38:40.884-04:00","Tyler Williams","","1","","","","Palma"
"Dixie Lee Pea","1","CP2501","PDREC_F27","108","1","8","KellySeedDillon_DixieLeaPea_2024","8","CP2501_108","flowering time","2025-06-16","2025-06-16 10:40:01.797-04:00","Tyler Williams","","1","","","","Palma"
"Zipper Cream","1","CP2501","PDREC_F29","110","1","10","SouthernExposureSeedExchange_ZipperCream_2025","10","CP2501_110","flowering time","2025-06-16","2025-06-16 10:40:22.815-04:00","Tyler Williams","","1","","","","Palma"
"Green Dixie Blackeye","1","CP2501","PDREC_F32","113","1","13","SouthernExposureSeedExchange_GreenDixieBlackeye_2025","13","CP2501_113","flowering time","2025-06-14","2025-06-16 10:41:59.963-04:00","Tyler Williams","","1","","","","Palma"
"Bettersnap","1","CP2501","PDREC_F34","115","1","15","SouthernExposureSeedExchange_Bettersnap_2025","15","CP2501_115","flowering time","2025-06-16","2025-06-16 10:43:21.566-04:00","Tyler Williams","","1","","","","Palma"
"Carolina Crowder","2","CP2501","PDREC_F39","211","2","5","SouthernExposureSeedExchange_CarolinaCrowder_2025","20","CP2501_205","flowering time","2025-06-16","2025-06-16 10:45:03.276-04:00","Tyler Williams","","1","","","","Palma"
"Green Dixie Blackeye","2","CP2501","PDREC_F42","208","2","8","SouthernExposureSeedExchange_GreenDixieBlackeye_2025","23","CP2501_208","flowering time","2025-06-16","2025-06-16 10:45:51.413-04:00","Tyler Williams","","1","","","","Palma"
"Coronet Pinkeye Purplehull","2","CP2501","PDREC_F43","207","2","9","KellySeedDillon_CoronetPinkeyePurplehull_2024","24","CP2501_209","flowering time","2025-06-15","2025-06-16 10:46:10.278-04:00","Tyler Williams","","1","","","","Palma"
"Bettersnap","2","CP2501","PDREC_F44","206","2","10","SouthernExposureSeedExchange_Bettersnap_2025","25","CP2501_210","flowering time","2025-06-14","2025-06-16 10:46:31.436-04:00","Tyler Williams","","1","","","","Palma"
"Ogle Southern Pea","2","CP2501","PDREC_F45","205","2","11","SCCropImprovement_OgleSouthernPea_2025","26","CP2501_211","flowering time","2025-06-15","2025-06-16 10:47:50.262-04:00","Tyler Williams","","1","","","","Palma"
"Bettersnap","3","CP2501","PDREC_F52","303","3","3","SouthernExposureSeedExchange_Bettersnap_2025","33","CP2501_303","flowering time","2025-06-15","2025-06-16 10:49:09.328-04:00","Tyler Williams","","1","","","","Palma"
"Green Dixie Blackeye","3","CP2501","PDREC_F57","308","3","8","SouthernExposureSeedExchange_GreenDixieBlackeye_2025","38","CP2501_308","flowering time","2025-06-15","2025-06-16 10:50:16.101-04:00","Tyler Williams","","1","","","","Palma"
"Ogle Southern Pea","3","CP2501","PDREC_F61","312","3","12","SCCropImprovement_OgleSouthernPea_2025","42","CP2501_312","flowering time","2025-06-16","2025-06-16 10:51:32.432-04:00","Tyler Williams","","1","","","","Palma"
"Coronet Pinkeye Purplehull","3","CP2501","PDREC_F63","314","3","14","KellySeedDillon_CoronetPinkeyePurplehull_2024","44","CP2501_314","flowering time","2025-06-13","2025-06-16 10:53:37.215-04:00","Tyler Williams","","1","","","","Palma"
"Green Dixie Blackeye","4","CP2501","PDREC_F66","414","4","2","SouthernExposureSeedExchange_GreenDixieBlackeye_2025","47","CP2501_402","flowering time","2025-06-14","2025-06-16 10:54:55.859-04:00","Tyler Williams","","1","","","","Palma"
"Coronet Pinkeye Purplehull","4","CP2501","PDREC_F69","411","4","5","KellySeedDillon_CoronetPinkeyePurplehull_2024","50","CP2501_405","flowering time","2025-06-14","2025-06-16 10:56:01.771-04:00","Tyler Williams","","1","","","","Palma"
"Knucklehull-VNR","4","CP2501","PDREC_F73","407","4","9","SouthernExposureSeedExchange_Knucklehull-VNR_2025","54","CP2501_409","flowering time","2025-06-16","2025-06-16 10:56:40.579-04:00","Tyler Williams","","1","","","","Palma"
"Bettersnap","4","CP2501","PDREC_F77","403","4","13","SouthernExposureSeedExchange_Bettersnap_2025","58","CP2501_413","flowering time","2025-06-16","2025-06-16 10:57:38.736-04:00","Tyler Williams","","1","","","","Palma"
"Ogle Southern Pea","4","CP2501","PDREC_F78","402","4","14","SCCropImprovement_OgleSouthernPea_2025","59","CP2501_414","flowering time","2025-06-14","2025-06-16 10:58:11.968-04:00","Tyler Williams","","1","","","","Palma"
"Zipper Cream","4","CP2501","PDREC_F79","401","4","15","SouthernExposureSeedExchange_ZipperCream_2025","60","CP2501_415","flowering time","2025-06-16","2025-06-16 10:58:31.729-04:00","Tyler Williams","","1","","","","Palma"
"Zipper Cream","2","CP2501","PDREC_F36","214","2","2","SouthernExposureSeedExchange_ZipperCream_2025","17","CP2501_202","flowering time","2025-06-17","2025-06-17 13:56:22.268-04:00","Tyler Williams","","1","","","","Palma"
"Zipper Cream","3","CP2501","PDREC_F51","302","3","2","SouthernExposureSeedExchange_ZipperCream_2025","32","CP2501_302","flowering time","2025-06-17","2025-06-17 13:58:06.063-04:00","Tyler Williams","","1","","","","Palma"
"Carolina Crowder","3","CP2501","PDREC_F58","309","3","9","SouthernExposureSeedExchange_CarolinaCrowder_2025","39","CP2501_309","flowering time","2025-06-17","2025-06-17 14:03:29.952-04:00","Tyler Williams","","1","","","","Palma"
"Carolina Crowder","4","CP2501","PDREC_F65","415","4","1","SouthernExposureSeedExchange_CarolinaCrowder_2025","46","CP2501_401","flowering time","2025-06-16","2025-06-17 14:05:05.563-04:00","Tyler Williams","","1","","","","Palma"
"Clemson Purple","1","CP2501","PDREC_F22","103","1","3","SCCropImprovement_ClemsonPurple_2025","3","CP2501_103","flowering time","2025-06-16","2025-06-18 09:19:39.835-04:00","Tyler Williams","","1","","","","Palma"
"Carolina Crowder","1","CP2501","PDREC_F33","114","1","14","SouthernExposureSeedExchange_CarolinaCrowder_2025","14","CP2501_114","flowering time","2025-06-18","2025-06-18 09:20:49.970-04:00","Tyler Williams","","1","","","","Palma"
"Dixie Lee Pea","2","CP2501","PDREC_F35","215","2","1","KellySeedDillon_DixieLeaPea_2024","16","CP2501_201","flowering time","2025-06-16","2025-06-18 09:21:39.332-04:00","Tyler Williams","","1","","","","Palma"
"Hercules","2","CP2501","PDREC_F40","210","2","6","SouthernExposureSeedExchange_Hercules_2025","21","CP2501_206","flowering time","2025-06-18","2025-06-18 09:22:58.421-04:00","Tyler Williams","","1","","","","Palma"
"Hercules","3","CP2501","PDREC_F50","301","3","1","SouthernExposureSeedExchange_Hercules_2025","31","CP2501_301","flowering time","2025-06-18","2025-06-18 09:25:09.401-04:00","Tyler Williams","","1","","","","Palma"
"Dixie Lee Pea","3","CP2501","PDREC_F54","305","3","5","KellySeedDillon_DixieLeaPea_2024","35","CP2501_305","flowering time","2025-06-18","2025-06-18 09:25:27.863-04:00","Tyler Williams","","1","","","","Palma"
"Dixie Lee Pea","4","CP2501","PDREC_F70","410","4","6","KellySeedDillon_DixieLeaPea_2024","51","CP2501_406","flowering time","2025-06-18","2025-06-18 11:48:13.759-04:00","Tyler Williams","","1","","","","Palma"
"Clemson Purple","4","CP2501","PDREC_F67","413","4","3","SCCropImprovement_ClemsonPurple_2025","48","CP2501_403","flowering time","2025-06-18","2025-06-18 11:49:09.289-04:00","Tyler Williams","","1","","","","Palma"
