"accession_name","block","experiment","location","plot","range","row","seedlot_name","sort","unique_id","flowering time","first pod","early season anthracnose","Number Of Plant Harvested","dry pod count","succulent pod count","Pod Photo","Total Dry Pod Weight","Total Succulent Pod Weight","Seed Weight From 10 Pods","Total Succulent Seed Weight","Notes","Late Season Anthracnose","Panicle_lengtg","Leaf_width","Num_tillers","Flower Count","Pod Count","1st Harvesting Day","Pod Counts For 12/5/24","Pod Counts For 12/12/24","Pod Counts For 12/19/24","Pod Counts For 12/26/24","Pod Counts For 1/27/25","Stand Counts","Vigor","Pod Weight Kg","Seed Weight"
"Coronet Pinkeye Purplehull","1","CP2501","PDREC_F20","101","1","1","KellySeedDillon_CoronetPinkeyePurplehull_2024","1","CP2501_101","2025-06-13",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Papago Tohono O'odham","1","CP2501","PDREC_F21","102","1","2","SouthernExposureSeedExchange_PapagoTohonoO'odham _2025","2","CP2501_102",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clemson Purple","1","CP2501","PDREC_F22","103","1","3","SCCropImprovement_ClemsonPurple_2025","3","CP2501_103","2025-06-16",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ogle Southern Pea","1","CP2501","PDREC_F23","104","1","4","SCCropImprovement_OgleSouthernPea_2025","4","CP2501_104","2025-06-14",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Knucklehull-VNR","1","CP2501","PDREC_F24","105","1","5","SouthernExposureSeedExchange_Knucklehull-VNR_2025","5","CP2501_105","2025-06-14",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cowpea Phenomenal","1","CP2501","PDREC_F25","106","1","6","HarrisSeed_CowpeaPhenomenal_2025","6","CP2501_106","2025-06-12",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Texas Big Boy Pea","1","CP2501","PDREC_F26","107","1","7","Hoss_TexasBigBoyPea_2024","7","CP2501_107",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dixie Lee Pea","1","CP2501","PDREC_F27","108","1","8","KellySeedDillon_DixieLeaPea_2024","8","CP2501_108","2025-06-16",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Top Pick Pinkeye Pea","1","CP2501","PDREC_F28","109","1","9","Hoss_TopPickPinkeyePea_2024","9","CP2501_109","2025-06-12",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zipper Cream","1","CP2501","PDREC_F29","110","1","10","SouthernExposureSeedExchange_ZipperCream_2025","10","CP2501_110","2025-06-16",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hercules","1","CP2501","PDREC_F30","111","1","11","SouthernExposureSeedExchange_Hercules_2025","11","CP2501_111",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Big Red Ripper","1","CP2501","PDREC_F31","112","1","12","SouthernExposureSeedExchange_BigRedRipper_2025","12","CP2501_112",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Green Dixie Blackeye","1","CP2501","PDREC_F32","113","1","13","SouthernExposureSeedExchange_GreenDixieBlackeye_2025","13","CP2501_113","2025-06-14",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carolina Crowder","1","CP2501","PDREC_F33","114","1","14","SouthernExposureSeedExchange_CarolinaCrowder_2025","14","CP2501_114","2025-06-18",,,,,,,,,,,,,,,,,,,,,,,,,,,
