accession_name,SL
Coronet Pinkeye Purplehull,KellySeedDillon_CoronetPinkeyePurplehull_2024
Colossus 80,SCCropImprovement_Colossus80_2025; SouthernExposureSeedExchange_Colossus80_2026
Knucklehull-VNR,SouthernExposureSeedExchange_Knucklehull-VNR_2025; SouthernExposureSeedExchange_Knucklehull-VNR_2026
Cowpea Phenomenal,HarrisSeed_CowpeaPhenomenal_2025
Texas Big Boy Pea,Hoss_TexasBigBoyPea_2024
Dixie Lee Pea,KellySeedDillon_DixieLeaPea_2024
Top Pick Pinkeye Pea,Hoss_TopPickPinkeyePea_2024
Zipper Cream,SouthernExposureSeedExchange_ZipperCream_2025; SouthernExposureSeedExchange_ZipperCream_2026
Hercules,"SouthernExposureSeedExchange_Hercules_2025; 
SouthernExposureSeedExchange_Hercules_2026"
Big Red Ripper,"SouthernExposureSeedExchange_BigRedRipper_2025; 
SouthernExposureSeedExchange_BigRedRipper_2026"
Green Dixie Blackeye,"SouthernExposureSeedExchange_GreenDixieBlackeye_2025;
SouthernExposureSeedExchange_GreenDixieBlackeye_2026"
Kiawah Pinkeye Purple Hull,SouthernExposureSeedExchange_KiawahPinkeyePurpleHull_2026
White Acre Pea,Hoss_WhiteAcrePea_2026
Mississippi Purplehull Pea,Hoss_MississippiPurplehullPea_2026
Ogle Southern Pea,SCCropImprovement_OgleSouthernPea_2025
