"experiment","location","accession_name","plot_name","plot_number","block","range","row","sort","seedlot_name"
"CP2601","PDREC-F18","Ogle Southern Pea","CP2601_101",101,1,1,1,1,"SCCropImprovement_OgleSouthernPea_2025"
"CP2601","PDREC-F18","Hercules","CP2601_102",102,1,1,2,2,"SouthernExposureSeedExchange_Hercules_2025; 
SouthernExposureSeedExchange_Hercules_2026"
"CP2601","PDREC-F18","Top Pick Pinkeye Pea","CP2601_103",103,1,1,3,3,"Hoss_TopPickPinkeyePea_2024"
"CP2601","PDREC-F18","Coronet Pinkeye Purplehull","CP2601_104",104,1,1,4,4,"KellySeedDillon_CoronetPinkeyePurplehull_2024"
"CP2601","PDREC-F18","Cowpea Phenomenal","CP2601_105",105,1,1,5,5,"HarrisSeed_CowpeaPhenomenal_2025"
"CP2601","PDREC-F18","Zipper Cream","CP2601_106",106,1,1,6,6,"SouthernExposureSeedExchange_ZipperCream_2025; SouthernExposureSeedExchange_ZipperCream_2026"
"CP2601","PDREC-F18","Colossus 80","CP2601_107",107,1,1,7,7,"SCCropImprovement_Colossus80_2025; SouthernExposureSeedExchange_Colossus80_2026"
"CP2601","PDREC-F18","Texas Big Boy Pea","CP2601_108",108,1,1,8,8,"Hoss_TexasBigBoyPea_2024"
"CP2601","PDREC-F18","Green Dixie Blackeye","CP2601_109",109,1,1,9,9,"SouthernExposureSeedExchange_GreenDixieBlackeye_2025;
SouthernExposureSeedExchange_GreenDixieBlackeye_2026"
"CP2601","PDREC-F18","White Acre Pea","CP2601_110",110,1,1,10,10,"Hoss_WhiteAcrePea_2026"
"CP2601","PDREC-F18","Mississippi Purplehull Pea","CP2601_111",111,1,1,11,11,"Hoss_MississippiPurplehullPea_2026"
"CP2601","PDREC-F18","Dixie Lee Pea","CP2601_112",112,1,1,12,12,"KellySeedDillon_DixieLeaPea_2024"
"CP2601","PDREC-F18","Kiawah Pinkeye Purple Hull","CP2601_113",113,1,1,13,13,"SouthernExposureSeedExchange_KiawahPinkeyePurpleHull_2026"
"CP2601","PDREC-F18","Big Red Ripper","CP2601_114",114,1,1,14,14,"SouthernExposureSeedExchange_BigRedRipper_2025; 
SouthernExposureSeedExchange_BigRedRipper_2026"
"CP2601","PDREC-F18","Knucklehull-VNR","CP2601_115",115,1,1,15,15,"SouthernExposureSeedExchange_Knucklehull-VNR_2025; SouthernExposureSeedExchange_Knucklehull-VNR_2026"
"CP2601","PDREC-F18","Kiawah Pinkeye Purple Hull","CP2601_201",201,2,2,1,16,"SouthernExposureSeedExchange_KiawahPinkeyePurpleHull_2026"
"CP2601","PDREC-F18","Big Red Ripper","CP2601_202",202,2,2,2,17,"SouthernExposureSeedExchange_BigRedRipper_2025; 
SouthernExposureSeedExchange_BigRedRipper_2026"
"CP2601","PDREC-F18","Coronet Pinkeye Purplehull","CP2601_203",203,2,2,3,18,"KellySeedDillon_CoronetPinkeyePurplehull_2024"
"CP2601","PDREC-F18","Texas Big Boy Pea","CP2601_204",204,2,2,4,19,"Hoss_TexasBigBoyPea_2024"
"CP2601","PDREC-F18","Zipper Cream","CP2601_205",205,2,2,5,20,"SouthernExposureSeedExchange_ZipperCream_2025; SouthernExposureSeedExchange_ZipperCream_2026"
"CP2601","PDREC-F18","Top Pick Pinkeye Pea","CP2601_206",206,2,2,6,21,"Hoss_TopPickPinkeyePea_2024"
"CP2601","PDREC-F18","Colossus 80","CP2601_207",207,2,2,7,22,"SCCropImprovement_Colossus80_2025; SouthernExposureSeedExchange_Colossus80_2026"
"CP2601","PDREC-F18","Mississippi Purplehull Pea","CP2601_208",208,2,2,8,23,"Hoss_MississippiPurplehullPea_2026"
"CP2601","PDREC-F18","Cowpea Phenomenal","CP2601_209",209,2,2,9,24,"HarrisSeed_CowpeaPhenomenal_2025"
"CP2601","PDREC-F18","White Acre Pea","CP2601_210",210,2,2,10,25,"Hoss_WhiteAcrePea_2026"
"CP2601","PDREC-F18","Green Dixie Blackeye","CP2601_211",211,2,2,11,26,"SouthernExposureSeedExchange_GreenDixieBlackeye_2025;
SouthernExposureSeedExchange_GreenDixieBlackeye_2026"
"CP2601","PDREC-F18","Knucklehull-VNR","CP2601_212",212,2,2,12,27,"SouthernExposureSeedExchange_Knucklehull-VNR_2025; SouthernExposureSeedExchange_Knucklehull-VNR_2026"
"CP2601","PDREC-F18","Ogle Southern Pea","CP2601_213",213,2,2,13,28,"SCCropImprovement_OgleSouthernPea_2025"
"CP2601","PDREC-F18","Hercules","CP2601_214",214,2,2,14,29,"SouthernExposureSeedExchange_Hercules_2025; 
SouthernExposureSeedExchange_Hercules_2026"
"CP2601","PDREC-F18","Dixie Lee Pea","CP2601_215",215,2,2,15,30,"KellySeedDillon_DixieLeaPea_2024"
"CP2601","PDREC-F18","Dixie Lee Pea","CP2601_301",301,3,3,1,31,"KellySeedDillon_DixieLeaPea_2024"
"CP2601","PDREC-F18","Big Red Ripper","CP2601_302",302,3,3,2,32,"SouthernExposureSeedExchange_BigRedRipper_2025; 
SouthernExposureSeedExchange_BigRedRipper_2026"
"CP2601","PDREC-F18","Hercules","CP2601_303",303,3,3,3,33,"SouthernExposureSeedExchange_Hercules_2025; 
SouthernExposureSeedExchange_Hercules_2026"
"CP2601","PDREC-F18","Kiawah Pinkeye Purple Hull","CP2601_304",304,3,3,4,34,"SouthernExposureSeedExchange_KiawahPinkeyePurpleHull_2026"
"CP2601","PDREC-F18","Colossus 80","CP2601_305",305,3,3,5,35,"SCCropImprovement_Colossus80_2025; SouthernExposureSeedExchange_Colossus80_2026"
"CP2601","PDREC-F18","Cowpea Phenomenal","CP2601_306",306,3,3,6,36,"HarrisSeed_CowpeaPhenomenal_2025"
"CP2601","PDREC-F18","Green Dixie Blackeye","CP2601_307",307,3,3,7,37,"SouthernExposureSeedExchange_GreenDixieBlackeye_2025;
SouthernExposureSeedExchange_GreenDixieBlackeye_2026"
"CP2601","PDREC-F18","Texas Big Boy Pea","CP2601_308",308,3,3,8,38,"Hoss_TexasBigBoyPea_2024"
"CP2601","PDREC-F18","Coronet Pinkeye Purplehull","CP2601_309",309,3,3,9,39,"KellySeedDillon_CoronetPinkeyePurplehull_2024"
"CP2601","PDREC-F18","Top Pick Pinkeye Pea","CP2601_310",310,3,3,10,40,"Hoss_TopPickPinkeyePea_2024"
"CP2601","PDREC-F18","Ogle Southern Pea","CP2601_311",311,3,3,11,41,"SCCropImprovement_OgleSouthernPea_2025"
"CP2601","PDREC-F18","White Acre Pea","CP2601_312",312,3,3,12,42,"Hoss_WhiteAcrePea_2026"
"CP2601","PDREC-F18","Zipper Cream","CP2601_313",313,3,3,13,43,"SouthernExposureSeedExchange_ZipperCream_2025; SouthernExposureSeedExchange_ZipperCream_2026"
"CP2601","PDREC-F18","Knucklehull-VNR","CP2601_314",314,3,3,14,44,"SouthernExposureSeedExchange_Knucklehull-VNR_2025; SouthernExposureSeedExchange_Knucklehull-VNR_2026"
"CP2601","PDREC-F18","Mississippi Purplehull Pea","CP2601_315",315,3,3,15,45,"Hoss_MississippiPurplehullPea_2026"
"CP2601","PDREC-F18","Hercules","CP2601_401",401,4,4,1,46,"SouthernExposureSeedExchange_Hercules_2025; 
SouthernExposureSeedExchange_Hercules_2026"
"CP2601","PDREC-F18","Colossus 80","CP2601_402",402,4,4,2,47,"SCCropImprovement_Colossus80_2025; SouthernExposureSeedExchange_Colossus80_2026"
"CP2601","PDREC-F18","Texas Big Boy Pea","CP2601_403",403,4,4,3,48,"Hoss_TexasBigBoyPea_2024"
"CP2601","PDREC-F18","Coronet Pinkeye Purplehull","CP2601_404",404,4,4,4,49,"KellySeedDillon_CoronetPinkeyePurplehull_2024"
"CP2601","PDREC-F18","Green Dixie Blackeye","CP2601_405",405,4,4,5,50,"SouthernExposureSeedExchange_GreenDixieBlackeye_2025;
SouthernExposureSeedExchange_GreenDixieBlackeye_2026"
"CP2601","PDREC-F18","Big Red Ripper","CP2601_406",406,4,4,6,51,"SouthernExposureSeedExchange_BigRedRipper_2025; 
SouthernExposureSeedExchange_BigRedRipper_2026"
"CP2601","PDREC-F18","Knucklehull-VNR","CP2601_407",407,4,4,7,52,"SouthernExposureSeedExchange_Knucklehull-VNR_2025; SouthernExposureSeedExchange_Knucklehull-VNR_2026"
"CP2601","PDREC-F18","Cowpea Phenomenal","CP2601_408",408,4,4,8,53,"HarrisSeed_CowpeaPhenomenal_2025"
"CP2601","PDREC-F18","Mississippi Purplehull Pea","CP2601_409",409,4,4,9,54,"Hoss_MississippiPurplehullPea_2026"
"CP2601","PDREC-F18","Ogle Southern Pea","CP2601_410",410,4,4,10,55,"SCCropImprovement_OgleSouthernPea_2025"
"CP2601","PDREC-F18","Top Pick Pinkeye Pea","CP2601_411",411,4,4,11,56,"Hoss_TopPickPinkeyePea_2024"
"CP2601","PDREC-F18","White Acre Pea","CP2601_412",412,4,4,12,57,"Hoss_WhiteAcrePea_2026"
"CP2601","PDREC-F18","Zipper Cream","CP2601_413",413,4,4,13,58,"SouthernExposureSeedExchange_ZipperCream_2025; SouthernExposureSeedExchange_ZipperCream_2026"
"CP2601","PDREC-F18","Kiawah Pinkeye Purple Hull","CP2601_414",414,4,4,14,59,"SouthernExposureSeedExchange_KiawahPinkeyePurpleHull_2026"
"CP2601","PDREC-F18","Dixie Lee Pea","CP2601_415",415,4,4,15,60,"KellySeedDillon_DixieLeaPea_2024"
