seedlot_name,amount_used,amount_left,weight_used
SouthernExposureSeedExchange_BigRedRipper_2025,107,0,
SouthernExposureSeedExchange_ZipperCream_2025,73,0,
SCCropImprovement_OgleSouthernPea_2025,340,19,
SouthernExposureSeedExchange_BigRedRipper_2026,293,37,
SouthernExposureSeedExchange_ZipperCream_2026,327,56,
SouthernExposureSeedExchange_GreenDixieBlackeye_2025,204,100,
SouthernExposureSeedExchange_KiawahPinkeyePurpleHull_2026,200,111,
SouthernExposureSeedExchange_KiawahPinkeyePurpleHull_2025,200,153,
SouthernExposureSeedExchange_GreenDixieBlackeye_2026,196,170,
KellySeedDillon_CoronetPinkeyePurplehull_2024,400,,66.4
Hoss_TexasBigBoyPea_2024,400,,99.36
SouthernExposureSeedExchange_Colossus80_2026,400,111,
SouthernExposureSeedExchange_Hercules_2026,400,59,
SouthernExposureSeedExchange_Knucklehull-VNR_2026,400,39,
HarrisSeed_CowpeaPhenomenal_2025,400,,67.12
Hoss_MississippiPurplehullPea_2026,400,,91.72
Hoss_TopPickPinkeyePea_2024,400,,64.64
Hoss_WhiteAcrePea_2026,400,,33.56
KellySeedDillon_DixieLeaPea_2024,400,,64.04
