"experiment","plot_name","accession_name","common_name","plot_number","range","row","block","seedlot_name"
"CP2602","CP2602_101","TVu-14253",NA,101,1,1,"1","GHC2501_263_SL"
"CP2602","CP2602_102","Cp_5647","Cp 5647",102,1,2,"1","GHC2501_456_SL"
"CP2602","CP2602_103","TVu-16504",NA,103,1,3,"1","GHC2501_313_SL"
"CP2602","CP2602_104","TVu-8622",NA,104,1,4,"1","GHC2501_390_SL"
"CP2602","CP2602_105","TVu-16278",NA,105,1,5,"1","GHC2501_306_SL"
"CP2602","CP2602_106","TVu-14875",NA,106,1,6,"1","GHC2501_278_SL"
"CP2602","CP2602_107","KVx-403-P-20-T","KVx 403-P-20-T",107,1,7,"1","GHC2501_201_SL"
"CP2602","CP2602_108","TVu-3156",NA,108,1,8,"1","GHC2501_340_SL"
"CP2602","CP2602_109","IT97K-499-39-1-1",NA,109,1,9,"1","GHC2501_189_SL"
"CP2602","CP2602_110","Check2","Top Pick Pinkeye Pea",110,1,10,"1","Hoss_TopPickPinkeyePea_2024"
"CP2602","CP2602_111","TVu-1036",NA,111,1,11,"1","GHC2501_227_SL"
"CP2602","CP2602_112","TVu-9620",NA,112,1,12,"1","GHC2501_417_SL"
"CP2602","CP2602_113","1393-1-2-3(-)",NA,113,1,13,"1","GHC2501_140_SL"
"CP2602","CP2602_114","TVu-1124",NA,114,1,14,"1","GHC2501_234_SL"
"CP2602","CP2602_115","Danila",NA,115,1,15,"1","GHC2501_151_SL"
"CP2602","CP2602_116","Check3","Dixie Lee Pea",116,1,16,"1","KellySeedDillon_DixieLeaPea_2024"
"CP2602","CP2602_117","TVu-15636",NA,117,1,17,"1","GHC2501_292_SL"
"CP2602","CP2602_118","INIA-34",NA,118,1,18,"1","GHC2501_164_SL"
"CP2602","CP2602_119","TVu-15445",NA,119,1,19,"1","GHC2501_288_SL"
"CP2602","CP2602_120","Check1","Coronet Pinkeye Purplehull",120,1,20,"1","KellySeedDillon_CoronetPinkeyePurplehull_2024"
"CP2602","CP2602_121","UCR_5275","UCR 5275",121,1,21,"1","GHC2501_438_SL"
"CP2602","CP2602_122","TVu-9556",NA,122,1,22,"1","GHC2501_415_SL"
"CP2602","CP2602_123","TVu-7642",NA,123,1,23,"1","GHC2501_376_SL"
"CP2602","CP2602_124","Vg48",NA,124,1,24,"1","GHC2501_457_SL"
"CP2602","CP2602_125","TVu-5444",NA,125,1,25,"1","GHC2501_364_SL"
"CP2602","CP2602_201","Suvita-2",NA,201,2,1,"2","GHC2501_221_SL"
"CP2602","CP2602_202","TVu-1280",NA,202,2,2,"2","GHC2501_239_SL"
"CP2602","CP2602_203","PI 597804","Charleston Greenpack",203,2,3,"2","GRIN_PI597804_2026"
"CP2602","CP2602_204","TVu-13965",NA,204,2,4,"2","GHC2501_255_SL"
"CP2602","CP2602_205","IT84S-2246",NA,205,2,5,"2","GHC2501_173_SL"
"CP2602","CP2602_206","TVu-2723",NA,206,2,6,"2","GHC2501_332_SL"
"CP2602","CP2602_207","TVu-43",NA,207,2,7,"2","GHC2501_353_SL"
"CP2602","CP2602_208","UCR_5385","UCR 5385",208,2,8,"2","GHC2501_442_SL"
"CP2602","CP2602_209","Check3","Dixie Lee Pea",209,2,9,"2","KellySeedDillon_DixieLeaPea_2024"
"CP2602","CP2602_210","TVu-14621",NA,210,2,10,"2","GHC2501_272_SL"
"CP2602","CP2602_211","UCR_162","UCR 162",211,2,11,"2","GHC2501_430_SL"
"CP2602","CP2602_212","PI 302457","TVu-1628",212,2,12,"2","GRIN_PI302457_2026"
"CP2602","CP2602_213","Check2","Top Pick Pinkeye Pea",213,2,13,"2","Hoss_TopPickPinkeyePea_2024"
"CP2602","CP2602_214","UCR_5280","UCR 5280",214,2,14,"2","GHC2501_440_SL"
"CP2602","CP2602_215","PI 664515","Bettergreen",215,2,15,"2","GRIN_PI664515_2026"
"CP2602","CP2602_216","TVu-1059",NA,216,2,16,"2","GHC2501_232_SL"
"CP2602","CP2602_217","UCR_830","UCR 830",217,2,17,"2","GHC2501_446_SL"
"CP2602","CP2602_218","TVu-1811",NA,218,2,18,"2","GHC2501_320_SL"
"CP2602","CP2602_219","TVu-1715",NA,219,2,19,"2","GHC2501_316_SL"
"CP2602","CP2602_220","TVu-13778",NA,220,2,20,"2","GHC2501_251_SL"
"CP2602","CP2602_221","TVu-9474",NA,221,2,21,"2","GHC2501_408_SL"
"CP2602","CP2602_222","PI 664535","CR 17-1-34",222,2,22,"2","GRIN_PI664535_2026"
"CP2602","CP2602_223","Check1","Coronet Pinkeye Purplehull",223,2,23,"2","KellySeedDillon_CoronetPinkeyePurplehull_2024"
"CP2602","CP2602_224","TVu-13388",NA,224,2,24,"2","GHC2501_249_SL"
"CP2602","CP2602_225","PI 302458","Tvu-2612",225,2,25,"2","GRIN_PI302458_2026"
