"accession_name","block","common_name","experiment","minicore_id","plot_name","plot_number","population_name","range","row","seedlot_name","sort","first flower date","seed count","Minicore #","DNA ID"
"FN-1-14-04",NA,NA,"GHC2501","MinicoreUCR_027","GHC2501_156",156,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_027_2025",56,NA,7,"MinicoreUCR_027",4913
"TVu-5444",NA,NA,"GHC2501","MinicoreUCR_267","GHC2501_364",364,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_267_2025",264,NA,9,"MinicoreUCR_267",5151
"TVu-53",NA,NA,"GHC2501","MinicoreUCR_266","GHC2501_363",363,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_266_2025",263,"3/16/26",10,"MinicoreUCR_266",5150
"Cameroon_12-58",NA,"Cameroon 12-58","GHC2501","MinicoreUCR_010","GHC2501_145",145,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_010_2025",45,NA,11,"MinicoreUCR_010",4896
"1393-1-2-3(-)",NA,NA,"GHC2501","MinicoreUCR_001","GHC2501_140",140,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_001_2025",40,"3/5/26",13,"MinicoreUCR_001",4887
"CB5-2",NA,"CB46 (but wrong)","GHC2501","MinicoreUCR_014","GHC2501_148",148,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_014_2025",48,"3/6/26",13,"MinicoreUCR_014",4900
"Gorda",NA,NA,"GHC2501","MinicoreUCR_031","GHC2501_159",159,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_031_2025",59,"3/6/26",13,"MinicoreUCR_031",4917
"IT93K-452-1",NA,NA,"GHC2501","MinicoreUCR_050","GHC2501_177",177,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_050_2025",77,"4/1/26",13,"MinicoreUCR_050",4936
"IT98K-1111-1",NA,NA,"GHC2501","MinicoreUCR_067","GHC2501_193",193,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_067_2025",93,"3/30/26",13,"MinicoreUCR_067",4953
"TVu-15315",NA,NA,"GHC2501","MinicoreUCR_168","GHC2501_283",283,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_168_2025",183,NA,13,"MinicoreUCR_168",5274
"UCR_5279",NA,"UCR 5279","GHC2501","MinicoreUCR_375","GHC2501_439",439,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_375_2025",339,NA,13,"MinicoreUCR_375",5258
"N'diambour",NA,NA,"GHC2501","MinicoreUCR_092","GHC2501_215",215,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_092_2025",115,NA,14,"MinicoreUCR_092",4978
"TVu-16278",NA,NA,"GHC2501","MinicoreUCR_197","GHC2501_306",306,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_197_2025",206,"3/13/26",14,"MinicoreUCR_197",5082
"TVu-1727",NA,NA,"GHC2501","MinicoreUCR_211","GHC2501_317",317,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_211_2025",217,"3/16/26",14,"MinicoreUCR_211",5096
"CB27",NA,NA,"GHC2501","MinicoreUCR_012","GHC2501_146",146,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_012_2025",46,"3/9/26",15,"MinicoreUCR_012",4898
"IT82E-18",NA,NA,"GHC2501","MinicoreUCR_043","GHC2501_170",170,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_043_2025",70,"3/13/26",15,"MinicoreUCR_043",4929
"TVu-10892",NA,NA,"GHC2501","MinicoreUCR_114","GHC2501_233",233,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_114_2025",133,NA,15,"MinicoreUCR_114",5000
"TVu-1280",NA,NA,"GHC2501","MinicoreUCR_120","GHC2501_239",239,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_120_2025",139,NA,15,"MinicoreUCR_120",5006
"TVu-14393",NA,NA,"GHC2501","MinicoreUCR_152","GHC2501_269",269,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_152_2025",169,NA,15,"MinicoreUCR_152",5038
"TVu-6968",NA,NA,"GHC2501","MinicoreUCR_282","GHC2501_372",372,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_282_2025",272,"3/24/26",15,"MinicoreUCR_282",5166
"TVu-9256",NA,NA,"GHC2501","MinicoreUCR_330","GHC2501_401",401,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_330_2025",301,NA,15,"MinicoreUCR_330",5214
"TVu-9801",NA,NA,"GHC2501","MinicoreUCR_353","GHC2501_422",422,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_353_2025",322,NA,15,"MinicoreUCR_353",5237
"Early_Scarlet",NA,"Early Scarlet","GHC2501","MinicoreUCR_023","GHC2501_152",152,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_023_2025",52,"3/13/26",16,"MinicoreUCR_023",4909
"SASAQUE",NA,NA,"GHC2501","MinicoreUCR_098","GHC2501_220",220,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_098_2025",120,NA,16,"MinicoreUCR_098",4983
"TVu-2449",NA,NA,"GHC2501","MinicoreUCR_224","GHC2501_328",328,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_224_2025",228,NA,16,"MinicoreUCR_224",5109
"TVu-6365",NA,NA,"GHC2501","MinicoreUCR_269","GHC2501_366",366,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_269_2025",266,NA,16,"MinicoreUCR_269",5153
"China_501",NA,"China 501","GHC2501","MinicoreUCR_020","GHC2501_149",149,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_020_2025",49,NA,17,"MinicoreUCR_020",4906
"Vg50",NA,NA,"GHC2501","MinicoreUCR_396","GHC2501_458",458,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_396_2025",358,"3/16/26",17,"MinicoreUCR_396",5890
"Bambey_21",NA,"Bambey 21","GHC2501","MinicoreUCR_007","GHC2501_144",144,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_007_2025",44,"3/9/26",18,"MinicoreUCR_007",4893
"KVx-525",NA,"KVx 525","GHC2501","MinicoreUCR_080","GHC2501_204",204,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_080_2025",104,"3/30/26",18,"MinicoreUCR_080",4966
"TVu-12897",NA,NA,"GHC2501","MinicoreUCR_123","GHC2501_242",242,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_123_2025",142,NA,19,"MinicoreUCR_123",5009
"TVu-6439",NA,NA,"GHC2501","MinicoreUCR_270","GHC2501_367",367,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_270_2025",267,"3/16/26",19,"MinicoreUCR_270",5154
"UCR_1432",NA,"UCR 1432","GHC2501","MinicoreUCR_360","GHC2501_429",429,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_360_2025",329,NA,19,"MinicoreUCR_360",5244
"Cp_4906",NA,"Cp 4906","GHC2501","MinicoreUCR_392","GHC2501_454",454,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_392_2025",354,"3/13/26",20,"MinicoreUCR_392",5886
"Vg48",NA,NA,"GHC2501","MinicoreUCR_395","GHC2501_457",457,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_395_2025",357,"3/13/26",20,"MinicoreUCR_395",5889
"524B",NA,"524-B","GHC2501","MinicoreUCR_003","GHC2501_141",141,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_003_2025",41,"3/5/26",21,"MinicoreUCR_003",4889
"IT99K-124-5",NA,NA,"GHC2501","MinicoreUCR_075","GHC2501_199",199,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_075_2025",99,"3/25/26",21,"MinicoreUCR_075",4961
"TVu-14272",NA,NA,"GHC2501","MinicoreUCR_147","GHC2501_264",264,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_147_2025",164,"3/13/26",21,"MinicoreUCR_147",5033
"IT97K-207-21",NA,NA,"GHC2501","MinicoreUCR_059","GHC2501_186",186,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_059_2025",86,"3/13/26",22,"MinicoreUCR_059",4945
"IT98K-205-8",NA,NA,"GHC2501","MinicoreUCR_070","GHC2501_195",195,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_070_2025",95,"3/11/26",22,"MinicoreUCR_070",4956
"Suvita-2",NA,NA,"GHC2501","MinicoreUCR_099","GHC2501_221",221,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_099_2025",121,"3/16/26",22,"MinicoreUCR_099",4986
"IT97K-207-15",NA,NA,"GHC2501","MinicoreUCR_058","GHC2501_185",185,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_058_2025",85,"3/27/26",23,"MinicoreUCR_058",4944
"TVu-13388",NA,NA,"GHC2501","MinicoreUCR_131","GHC2501_249",249,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_131_2025",149,NA,23,"MinicoreUCR_131",5017
"TVu-16403",NA,NA,"GHC2501","MinicoreUCR_201","GHC2501_310",310,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_201_2025",210,NA,23,"MinicoreUCR_201",5086
"Vg56",NA,NA,"GHC2501","MinicoreUCR_397","GHC2501_459",459,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_397_2025",359,"3/13/26",23,"MinicoreUCR_397",5891
"CB3",NA,NA,"GHC2501","MinicoreUCR_013","GHC2501_147",147,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_013_2025",47,"3/10/26",24,"MinicoreUCR_013",4899
"IAR7/8-4-5-1",NA,NA,"GHC2501","MinicoreUCR_032","GHC2501_160",160,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_032_2025",60,"3/13/26",24,"MinicoreUCR_032",4918
"IT86D-364",NA,NA,"GHC2501","MinicoreUCR_048","GHC2501_175",175,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_048_2025",75,"3/13/26",24,"MinicoreUCR_048",4934
"IT95M-190",NA,NA,"GHC2501","MinicoreUCR_056","GHC2501_183",183,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_056_2025",83,"3/9/26",24,"MinicoreUCR_056",4942
"TVu-2322",NA,NA,"GHC2501","MinicoreUCR_221","GHC2501_325",325,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_221_2025",225,NA,24,"MinicoreUCR_221",5106
"Danila",NA,NA,"GHC2501","MinicoreUCR_022","GHC2501_151",151,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_022_2025",51,"3/13/26",25,"MinicoreUCR_022",4908
