accession_name,block,common_name,experiment,minicore_id,plot_name,plot_number,population_name,range,row,seedlot_name,sort,first flower date,seed count
Gorda,,,GHC2501,MinicoreUCR_031,GHC2501_159,159,UCR_mini_core,,,UCR_MinicoreUCR_031_2025,59,3/6/26,13
IT93K-452-1,,,GHC2501,MinicoreUCR_050,GHC2501_177,177,UCR_mini_core,,,UCR_MinicoreUCR_050_2025,77,4/1/26,13
IT98K-1111-1,,,GHC2501,MinicoreUCR_067,GHC2501_193,193,UCR_mini_core,,,UCR_MinicoreUCR_067_2025,93,3/30/26,13
TVu-15315,,,GHC2501,MinicoreUCR_168,GHC2501_283,283,UCR_mini_core,,,UCR_MinicoreUCR_168_2025,183,,13
UCR_5279,,UCR 5279,GHC2501,MinicoreUCR_375,GHC2501_439,439,UCR_mini_core,,,UCR_MinicoreUCR_375_2025,339,,13
N'diambour,,,GHC2501,MinicoreUCR_092,GHC2501_215,215,UCR_mini_core,,,UCR_MinicoreUCR_092_2025,115,,14
TVu-16278,,,GHC2501,MinicoreUCR_197,GHC2501_306,306,UCR_mini_core,,,UCR_MinicoreUCR_197_2025,206,3/13/26,14
TVu-1727,,,GHC2501,MinicoreUCR_211,GHC2501_317,317,UCR_mini_core,,,UCR_MinicoreUCR_211_2025,217,3/16/26,14
CB27,,,GHC2501,MinicoreUCR_012,GHC2501_146,146,UCR_mini_core,,,UCR_MinicoreUCR_012_2025,46,3/9/26,15
IT82E-18,,,GHC2501,MinicoreUCR_043,GHC2501_170,170,UCR_mini_core,,,UCR_MinicoreUCR_043_2025,70,3/13/26,15
TVu-10892,,,GHC2501,MinicoreUCR_114,GHC2501_233,233,UCR_mini_core,,,UCR_MinicoreUCR_114_2025,133,,15
TVu-1280,,,GHC2501,MinicoreUCR_120,GHC2501_239,239,UCR_mini_core,,,UCR_MinicoreUCR_120_2025,139,,15
TVu-14393,,,GHC2501,MinicoreUCR_152,GHC2501_269,269,UCR_mini_core,,,UCR_MinicoreUCR_152_2025,169,,15
TVu-6968,,,GHC2501,MinicoreUCR_282,GHC2501_372,372,UCR_mini_core,,,UCR_MinicoreUCR_282_2025,272,3/24/26,15
TVu-9256,,,GHC2501,MinicoreUCR_330,GHC2501_401,401,UCR_mini_core,,,UCR_MinicoreUCR_330_2025,301,,15
TVu-9801,,,GHC2501,MinicoreUCR_353,GHC2501_422,422,UCR_mini_core,,,UCR_MinicoreUCR_353_2025,322,,15
Early_Scarlet,,Early Scarlet,GHC2501,MinicoreUCR_023,GHC2501_152,152,UCR_mini_core,,,UCR_MinicoreUCR_023_2025,52,3/13/26,16
SASAQUE,,,GHC2501,MinicoreUCR_098,GHC2501_220,220,UCR_mini_core,,,UCR_MinicoreUCR_098_2025,120,,16
TVu-2449,,,GHC2501,MinicoreUCR_224,GHC2501_328,328,UCR_mini_core,,,UCR_MinicoreUCR_224_2025,228,,16
TVu-6365,,,GHC2501,MinicoreUCR_269,GHC2501_366,366,UCR_mini_core,,,UCR_MinicoreUCR_269_2025,266,,16
China_501,,China 501,GHC2501,MinicoreUCR_020,GHC2501_149,149,UCR_mini_core,,,UCR_MinicoreUCR_020_2025,49,,17
Vg50,,,GHC2501,MinicoreUCR_396,GHC2501_458,458,UCR_mini_core,,,UCR_MinicoreUCR_396_2025,358,3/16/26,17
Bambey_21,,Bambey 21,GHC2501,MinicoreUCR_007,GHC2501_144,144,UCR_mini_core,,,UCR_MinicoreUCR_007_2025,44,3/9/26,18
KVx-525,,KVx 525,GHC2501,MinicoreUCR_080,GHC2501_204,204,UCR_mini_core,,,UCR_MinicoreUCR_080_2025,104,3/30/26,18
TVu-12897,,,GHC2501,MinicoreUCR_123,GHC2501_242,242,UCR_mini_core,,,UCR_MinicoreUCR_123_2025,142,,19
