seedlot_name,population_name,accession_name,common_name,minicore_id,short_day,DNA_id,year,amount,weight_gram,operator_name,description,box_name,quality,source
,GRIN,PI 535810,US-432,,,,2026,25,3.49,,,,,
,GRIN,PI 564741,Carolina Sugar,,,,2026,25,7.11,,,,,
,GRIN,PI 578897,Grif 9058,,,,2026,25,2.63,,,,,
,GRIN,PI 591476,Kunde Zulu,,,,2026,25,2.94,,,,,
,GRIN,PI 597804,Charleston Greenpack,,,,2026,25,3.29,,,,,
,GRIN,PI 601359,Pinkeye Pink Pod,,,,2026,25,3.65,,,,,
,GRIN,PI 601453,CT Pinkeye Purplehull,,,,2026,25,3.66,,,,,
,GRIN,PI 606785,Petite-N-Green,,,,2026,25,3.01,,,,,
,GRIN,PI 302457,TVu-1628,,,,2026,25,4.37,,,,,
,GRIN,PI 302458,Tvu-2612,,,,2026,25,2.4,,,,,
,GRIN,PI 532807,IT86D-1010,,,,2026,25,3.85,,,,,
,GRIN,PI 582920,US 567,,,,2026,25,6.05,,,,,
,GRIN,PI 663151,Carolina Cream,,,,2026,25,2.25,,,,,
,GRIN,PI 663152,CR 22-2-21,,,,2026,25,1.75,,,,,
,GRIN,PI 663153,CR 18-13-1,,,,2026,25,1.83,,,,,
,GRIN,PI 664513,Santee Early Pinkeye,,,,2026,25,3.39,,,,,
,GRIN,PI 664514,Kiawah,,,,2026,25,3.45,,,,,
,GRIN,PI 664515,Bettergreen,,,,2026,25,2.8,,,,,
,GRIN,PI 664516,Carolina Crowder,,,,2026,25,4.03,,,,,
,GRIN,PI 664517,Bettergro Blackeye,,,,2026,25,3.83,,,,,
,GRIN,PI 664518,Bettersnap,,,,2026,25,2.64,,,,,
,GRIN,PI 664519,Tender Cream,,,,2026,25,2.08,,,,,
,GRIN,PI 664520,Green Pixie,,,,2026,25,1.44,,,,,
,GRIN,PI 664521,Charleston Blackeye,,,,2026,25,4.34,,,,,
,GRIN,PI 664522,Charleston Nemagreen,,,,2026,25,2.7,,,,,
,GRIN,PI 664523,DoubleGreen Delight,,,,2026,25,2.49,,,,,
,GRIN,PI 664524,Green Dixie Blackeye,,,,2026,25,3.78,,,,,
,GRIN,PI 664525,KnuckleHull-VNR,,,,2026,25,3.87,,,,,
,GRIN,PI 664526,Baby Cream,,,,2026,25,2.21,,,,,
,GRIN,PI 664527,ZipperCream-GC,,,,2026,25,5.7,,,,,
,GRIN,PI 664528,WhiteAcre-DG,,,,2026,25,1.94,,,,,
,GRIN,PI 664529,US-311,,,,2026,25,3.63,,,,,
,GRIN,PI 664530,US-427,,,,2026,25,5.02,,,,,
,GRIN,PI 664531,US-1136,,,,2026,25,5.37,,,,,
,GRIN,PI 664532,US-1137,,,,2026,25,4.07,,,,,
,GRIN,PI 664533,US-1138,,,,2026,25,3.11,,,,,
,GRIN,PI 664534,Colossus 80,,,,2026,25,6.43,,,,,
,GRIN,PI 664535,CR 17-1-34,,,,2026,25,2.76,,,,,
,GRIN,PI 666249,Colossus,,,,2026,25,4.47,,,,,
