accession_name,Minicore #,DNA ID,Seedlot,AKA,Short Day
24-125-B-1,MinicoreUCR_002,4888,"GH16-22, 2020",,1
58-53,MinicoreUCR_004,4890,GH (2016-2018),,1
Bun_22_Ghana,MinicoreUCR_008,4894,"GH6D, 2020",Bun 22 Ghana,1
Cameroon_7-29,MinicoreUCR_011,4897,"GH6D, 2020",Cameroon 7-29,1
Iron_Clay,MinicoreUCR_041,5721,GH (2016-2018),Iron Clay,1
Montiero,MinicoreUCR_086,4972,GH (2016-2018),,1
Nhacoongo-3,MinicoreUCR_094,4980,"GH6D, 2020",,1
Tete-2,MinicoreUCR_100,4987,"GH6D, 2020",,1
TVu-10281,MinicoreUCR_107,5273,"GH6D, 2020",,1
TVu-13305,MinicoreUCR_130,5016,"GH6D, 2020",,1
TVu-13485,MinicoreUCR_133,5019,GH (2016-2018),,1
TVu-14633,MinicoreUCR_157,5043,"GH6D, 2020",,1
TVu-14971,MinicoreUCR_165,5051,"GH6D, 2020",,1
TVu-15391,MinicoreUCR_170,5055,GH (2016-2018),,1
TVu-16449,MinicoreUCR_203,5088,"GH6D, 2020",,1
TVu-1916,MinicoreUCR_216,5101,"GH6D, 2020",,1
TVu-201,MinicoreUCR_217,5102,"GH6D, 2020",,1
TVu-3652,MinicoreUCR_242,5127,"GH6D, 2020",,1
TVu-3830,MinicoreUCR_246,5130,"GH6D, 2020",,1
TVu-4097,MinicoreUCR_252,5136,"GH6D, 2020",,1
TVu-4545,MinicoreUCR_257,5141,"GH6D, 2020",,1
TVu-4632,MinicoreUCR_261,5145,GH (2016-2018),,1
TVu-6477,MinicoreUCR_272,5156,"GH6D, 2020",,1
TVu-6642,MinicoreUCR_275,5159,"GH6D, 2020",,1
TVu-6643,MinicoreUCR_276,5160,"GH6D, 2020",,1
TVu-6644,MinicoreUCR_277,5161,GH (2016-2018),,1
TVu-7647,MinicoreUCR_292,5176,GH (2016-2018),,1
TVu-7798,MinicoreUCR_298,5182,"GH6D, 2020",,1
TVu-7991,MinicoreUCR_300,5184,"GH6D, 2020",,1
TVu-8262,MinicoreUCR_306,5190,GH (2016-2018),,1
TVu-8641,MinicoreUCR_312,5196,"GH6D, 2020",,1
TVu-8779,MinicoreUCR_319,5203,"GH6D, 2020",,1
TVu-8812,MinicoreUCR_320,5204,"GH6D, 2020",,1
TVu-8834,MinicoreUCR_321,5205,"GH6D, 2020",,1
TVu-8883,MinicoreUCR_323,5207,"GH6D, 2020",,1
TVu-889,MinicoreUCR_324,5208,"GH6D, 2020",,1
TVu-8923,MinicoreUCR_325,5209,"GH6D, 2020",,1
TVu-8934,MinicoreUCR_326,5210,GH (2016-2018),,1
TVu-9031,MinicoreUCR_327,5211,"GH6D, 2020",,1
1393-1-2-3(-),MinicoreUCR_001,4887,GH (2016-2018),,
524B,MinicoreUCR_003,4889,GH (2016-2018),524-B,
58-57,MinicoreUCR_005,4891,GH (2016-2018),,
Apagbaala,MinicoreUCR_006,4892,GH (2016-2018),,
Bambey_21,MinicoreUCR_007,4893,"GHISO1, 2021",Bambey 21,
Cameroon_12-58,MinicoreUCR_010,4896,GH (2016-2018),Cameroon 12-58,
CB27,MinicoreUCR_012,4898,"GH6D, 2020",,
CB3,MinicoreUCR_013,4899,"PR1-212, 2024",,
CB5-2,MinicoreUCR_014,4900,"GH6D, 2020",CB46 (but wrong),
China_501,MinicoreUCR_020,4906,GH (2016-2018),China 501,
CRSP_Niebe,MinicoreUCR_021,4907,GH (2016-2018),CRSP Niebe,
Danila,MinicoreUCR_022,4908,GH (2016-2018),,
Early_Scarlet,MinicoreUCR_023,4909,GH (2016-2018),Early Scarlet,
Ecute,MinicoreUCR_024,4910,GH (2016-2018),,
Faef-14-Inhaca-E,MinicoreUCR_025,4911,GH (2016-2018),,
FN-1-13-04,MinicoreUCR_026,4912,GH (2016-2018),,
FN-1-14-04,MinicoreUCR_027,4913,GH (2016-2018),,
FN-2-13-04,MinicoreUCR_029,4915,GH (2016-2018),,
French_Bean,MinicoreUCR_030,4916,GH (2016-2018),French Bean,
Gorda,MinicoreUCR_031,4917,GH (2016-2018),,
IAR7/8-4-5-1,MinicoreUCR_032,4918,GH (2016-2018),,
Ife_Brown,MinicoreUCR_033,4919,GH (2016-2018),Ife Brown,
INIA-120,MinicoreUCR_034,5695,GH (2016-2018),,
INIA-31,MinicoreUCR_035,4921,GH (2016-2018),,
INIA-34,MinicoreUCR_036,4922,GH (2016-2018),,
INIA-40,MinicoreUCR_037,4923,GH (2016-2018),,
INIA-41,MinicoreUCR_038,4924,GH (2016-2018),,
INIA-5E,MinicoreUCR_039,4925,GH (2016-2018),,
INIA-72,MinicoreUCR_040,4926,GH (2016-2018),,
IT00K-901-6,MinicoreUCR_042,4928,GH (2016-2018),,
IT82E-18,MinicoreUCR_043,4929,"GH6D, 2020",,
IT83D-442,MinicoreUCR_044,4930,GH (2016-2018),,
IT84S-2049,MinicoreUCR_045,4931,"GHISO1, 2021",,
IT84S-2246,MinicoreUCR_046,4932,GH (2016-2018),,
IT85F-867-5,MinicoreUCR_047,4933,GH (2016-2018),,
IT86D-364,MinicoreUCR_048,4934,GH (2016-2018),,
IT89KD-288,MinicoreUCR_049,4935,GH (2016-2018),,
IT93K-452-1,MinicoreUCR_050,4936,GH (2016-2018),,
IT93K-503-1,MinicoreUCR_051,4937,"GHISO1, 2021",,
IT95K-1093-5,MinicoreUCR_052,4938,GH (2016-2018),,
IT95K-1105-5,MinicoreUCR_053,4939,"GHISO1, 2021",,
IT95K-1479,MinicoreUCR_054,4940,GH (2016-2018),,
IT95K-1491,MinicoreUCR_055,4941,GH (2016-2018),,
IT95M-190,MinicoreUCR_056,4942,GH (2016-2018),,
IT96D-610,MinicoreUCR_057,4943,GH (2016-2018),,
IT97K-207-15,MinicoreUCR_058,4944,GH (2016-2018),,
IT97K-207-21,MinicoreUCR_059,4945,GH (2016-2018),,
IT97K-461-4,MinicoreUCR_060,4946,GH (2016-2018),,
IT97K-499-35-1-1,MinicoreUCR_061,4947,GH (2016-2018),,
IT97K-499-39-1-1,MinicoreUCR_062,4948,GH (2016-2018),,
IT97K-556-6,MinicoreUCR_063,4949,GH (2016-2018),,
IT97K-569-9,MinicoreUCR_064,4950,GH (2016-2018),,
IT98D-1399,MinicoreUCR_066,4952,GH (2016-2018),,
IT98K-1111-1,MinicoreUCR_067,4953,GH (2016-2018),,
IT98K-128-4,MinicoreUCR_069,4955,GH (2016-2018),,
IT98K-205-8,MinicoreUCR_070,4956,GH (2016-2018),,
IT98K-428-2,MinicoreUCR_071,4957,GH (2016-2018),,
IT98K-498-1,MinicoreUCR_072,4958,GH (2016-2018),,
IT98K-555-1,MinicoreUCR_073,4959,GH (2016-2018),,
IT99K-124-5,MinicoreUCR_075,4961,GH (2016-2018),,
KVx-396-4-5-20,MinicoreUCR_076,4962,GH (2016-2018),KVx 396-4-5-20,
KVx-403-P-20-T,MinicoreUCR_077,4963,GH (2016-2018),KVx 403-P-20-T,
KVx-421-25,MinicoreUCR_078,4964,GH (2016-2018),KVx 421-25,
KVx-442-3,MinicoreUCR_079,4965,GH (2016-2018),KVx 442-3,
KVx-525,MinicoreUCR_080,4966,GH (2016-2018),KVx 525,
KVx-61-1-1,MinicoreUCR_081,4967,GH (2016-2018),KVx61-1-1,
Lori_Niebe,MinicoreUCR_082,4968,GH (2016-2018),Lori Niebe,
Lyg_321-2,MinicoreUCR_083,4969,GH (2016-2018),Lyg 321-2,
Massava-11,MinicoreUCR_084,4970,GH (2016-2018),,
Melakh,MinicoreUCR_085,4971,GH (2016-2018),,
Mougne,MinicoreUCR_087,4973,GH (2016-2018),,
Mouride,MinicoreUCR_088,4974,GH (2016-2018),,
Moussa_Local,MinicoreUCR_089,4975,GH (2016-2018),Moussa Local,
Muinana-Lawe,MinicoreUCR_090,4976,GH (2016-2018),,
NamuesseD,MinicoreUCR_091,4977,GH (2016-2018),,
N'diambour,MinicoreUCR_092,4978,GH (2016-2018),,
Nhacoongo-1,MinicoreUCR_093,4979,GH (2016-2018),,
Pakau3,MinicoreUCR_095,4009,GH (2016-2018),Pakau,
Prima,MinicoreUCR_096,4981,"PR1-212, 2024",,
Sanzi,MinicoreUCR_097,4982,"GH3A, 2019",,
SASAQUE,MinicoreUCR_098,4983,GH (2016-2018),,
Suvita-2,MinicoreUCR_099,4986,"GH6D, 2020",,
TVu-1000,MinicoreUCR_102,4989,"PR1-212, 2024",,
TVu-1004,MinicoreUCR_103,4990,"PR1-212, 2024",,
TVu-10100,MinicoreUCR_104,4991,GH (2016-2018),,
TVu-1016,MinicoreUCR_105,4992,"PR1-212, 2024",,
TVu-10179,MinicoreUCR_106,4993,GH (2016-2018),,
TVu-1036,MinicoreUCR_108,4994,"PR1-212, 2024",,
TVu-10366,MinicoreUCR_109,4995,"PR1-212, 2024",,
TVu-1037,MinicoreUCR_110,4996,"PR1-212, 2024",,
TVu-10466,MinicoreUCR_111,4997,"PR1-212, 2024",,
TVu-10513,MinicoreUCR_112,4998,"PR1-212, 2024",,
TVu-1059,MinicoreUCR_113,4999,"PR1-212, 2024",,
TVu-10892,MinicoreUCR_114,5000,GH (2016-2018),,
TVu-1124,MinicoreUCR_115,5001,GH (2016-2018),,
TVu-113,MinicoreUCR_116,5002,GH (2016-2018),,
TVu-12565,MinicoreUCR_117,5003,GH (2016-2018),,
TVu-12710,MinicoreUCR_118,5004,GH (2016-2018),,
TVu-12746,MinicoreUCR_119,5005,GH (2016-2018),,
TVu-1280,MinicoreUCR_120,5006,GH (2016-2018),,
TVu-12804,MinicoreUCR_121,5007,GH (2016-2018),,
TVu-12873,MinicoreUCR_122,5008,GH (2016-2018),,
TVu-12897,MinicoreUCR_123,5009,GH (2016-2018),,
TVu-12923,MinicoreUCR_124,5010,GH (2016-2018),,
TVu-12937,MinicoreUCR_125,5011,GH (2016-2018),,
TVu-12968,MinicoreUCR_126,5012,GH (2016-2018),,
TVu-13017,MinicoreUCR_127,5013,GH (2016-2018),,
TVu-132,MinicoreUCR_128,5014,GH (2016-2018),,
TVu-1330,MinicoreUCR_129,5015,GH (2016-2018),,
TVu-13388,MinicoreUCR_131,5017,GH (2016-2018),,
TVu-13463,MinicoreUCR_132,5018,GH (2016-2018),,
TVu-13778,MinicoreUCR_134,5020,GH (2016-2018),,
TVu-13939,MinicoreUCR_135,5021,GH (2016-2018),,
TVu-13950,MinicoreUCR_136,5022,GH (2016-2018),,
TVu-13958,MinicoreUCR_137,5023,GH (2016-2018),,
TVu-13965,MinicoreUCR_138,5024,GH (2016-2018),,
TVu-13968,MinicoreUCR_139,5025,"PR1-212, 2024",,
TVu-13979,MinicoreUCR_140,5026,"PR1-212, 2024",,
TVu-14172,MinicoreUCR_141,5027,GH (2016-2018),,
TVu-14190,MinicoreUCR_142,5028,GH (2016-2018),,
TVu-14195,MinicoreUCR_143,5029,GH (2016-2018),,
TVu-14224,MinicoreUCR_144,5030,GH (2016-2018),,
TVu-14248,MinicoreUCR_145,5031,GH (2016-2018),,
TVu-14253,MinicoreUCR_146,5032,GH (2016-2018),,
TVu-14272,MinicoreUCR_147,5033,GH (2016-2018),,
TVu-14321,MinicoreUCR_148,5034,GH (2016-2018),,
TVu-14336,MinicoreUCR_149,5035,GH (2016-2018),,
TVu-14345,MinicoreUCR_150,5036,GH (2016-2018),,
TVu-14346,MinicoreUCR_151,5037,GH (2016-2018),,
TVu-14393,MinicoreUCR_152,5038,GH (2016-2018),,
TVu-14401,MinicoreUCR_153,5039,GH (2016-2018),,
Tvu-14533,MinicoreUCR_154,5040,GH (2016-2018),,
TVu-14621,MinicoreUCR_155,5041,GH (2016-2018),,
TVu-14632,MinicoreUCR_156,5042,GH (2016-2018),,
TVu-14691,MinicoreUCR_158,5044,GH (2016-2018),,
TVu-14759,MinicoreUCR_159,5045,GH (2016-2018),,
TVu-1477,MinicoreUCR_160,5046,GH (2016-2018),,
TVu-14862,MinicoreUCR_161,5047,GH (2016-2018),,
TVu-14875,MinicoreUCR_162,5048,GH (2016-2018),,
TVu-14949,MinicoreUCR_163,5049,GH (2016-2018),,
TVu-14970,MinicoreUCR_164,5050,GH (2016-2018),,
TVu-15114,MinicoreUCR_166,5052,GH (2016-2018),,
TVu-15143,MinicoreUCR_167,5053,GH (2016-2018),,
TVu-15315,MinicoreUCR_168,5274,GH (2016-2018),,
TVu-1536,MinicoreUCR_169,5054,GH (2016-2018),,
TVu-15400,MinicoreUCR_171,5056,GH (2016-2018),,
TVu-15411,MinicoreUCR_172,5057,GH (2016-2018),,
TVu-15426,MinicoreUCR_173,5058,GH (2016-2018),,
TVu-15445,MinicoreUCR_174,5059,GH (2016-2018),,
TVu-1556,MinicoreUCR_176,5061,GH (2016-2018),,
TVu-15591,MinicoreUCR_177,5062,GH (2016-2018),,
TVu-15610,MinicoreUCR_178,5063,GH (2016-2018),,
TVu-15636,MinicoreUCR_179,5064,GH (2016-2018),,
TVu-15639,MinicoreUCR_180,5065,GH (2016-2018),,
TVu-15653,MinicoreUCR_181,5066,GH (2016-2018),,
TVu-15661,MinicoreUCR_182,5067,GH (2016-2018),,
TVu-15687,MinicoreUCR_183,5068,GH (2016-2018),,
TVu-1583,MinicoreUCR_185,5070,GH (2016-2018),,
TVu-15861,MinicoreUCR_187,5072,GH (2016-2018),,
TVu-15878,MinicoreUCR_188,5073,GH (2016-2018),,
TVu-15973,MinicoreUCR_190,5075,GH (2016-2018),,
TVu-15995,MinicoreUCR_191,5076,GH (2016-2018),,
TVu-1609,MinicoreUCR_192,5077,GH (2016-2018),,
TVu-16220,MinicoreUCR_193,5078,"GH16-22, 2020",,
TVu-16237,MinicoreUCR_194,5079,GH (2016-2018),,
TVu-16269,MinicoreUCR_196,5081,GH (2016-2018),,
TVu-16278,MinicoreUCR_197,5082,GH (2016-2018),,
TVu-16304,MinicoreUCR_198,5083,GH (2016-2018),,
TVu-16368,MinicoreUCR_199,5084,GH (2016-2018),,
TVu-1637,MinicoreUCR_200,5085,GH (2016-2018),,
TVu-16403,MinicoreUCR_201,5086,GH (2016-2018),,
TVu-16408,MinicoreUCR_202,5087,GH (2016-2018),,
TVu-16465,MinicoreUCR_204,5089,GH (2016-2018),,
TVu-16504,MinicoreUCR_205,5090,GH (2016-2018),,
TVu-16505,MinicoreUCR_206,5091,GH (2016-2018),,
TVu-16521,MinicoreUCR_207,5092,GH (2016-2018),,
TVu-1715,MinicoreUCR_210,5095,GH (2016-2018),,
TVu-1727,MinicoreUCR_211,5096,GH (2016-2018),,
TVu-1775,MinicoreUCR_212,5097,GH (2016-2018),,
TVu-1780,MinicoreUCR_213,5098,GH (2016-2018),,
TVu-1811,MinicoreUCR_214,5099,GH (2016-2018),,
TVu-1886,MinicoreUCR_215,5100,GH (2016-2018),,
TVu-21,MinicoreUCR_218,5103,GH (2016-2018),,
TVu-2168,MinicoreUCR_219,5104,GH (2016-2018),,
TVu-2280,MinicoreUCR_220,5105,GH (2016-2018),,
TVu-2322,MinicoreUCR_221,5106,GH (2016-2018),,
TVu-2398,MinicoreUCR_222,5107,GH (2016-2018),,
TVu-2418,MinicoreUCR_223,5108,GH (2016-2018),,
TVu-2449,MinicoreUCR_224,5109,GH (2016-2018),,
TVu-2548,MinicoreUCR_225,5110,GH (2016-2018),,
