seedlot_name,population_name,accession_name,common_name,minicore_id,short_day,DNA_id,year,amount,weight_gram,operator_name,description,box_name,quality,source
HarrisSeed_CowpeaPhenomenal_2025,commercial,Cowpea Phenomenal,Cowpea Phenomenal,NA,,,2025,1061,226,W.Spivey,,,,Harris Seed
Hoss_DixieLeePea_2024,commercial,Dixie Lee Pea,Dixie Lee Pea,NA,,,2024,200,,W.Spivey,,,,Hoss
Hoss_MississippiPurplehullPea_2024,commercial,Mississippi Purplehull Pea,Mississippi Purplehull Pea,NA,,,2024,200,,W.Spivey,,,,Hoss
Hoss_MississippiPurplehullPea_2026,commercial,Mississippi Purplehull Pea,Mississippi Purplehull Pea,NA,,,2026,,453,W.Spivey,,,,Hoss
Hoss_TexasBigBoyPea_2024,commercial,Texas Big Boy Pea,Texas Big Boy Pea,NA,,,2024,,453,W.Spivey,,,,Hoss
Hoss_TopPickPinkeyePea_2024,commercial,Top Pick Pinkeye Pea,Top Pick Pinkeye Pea,NA,,,2024,,453,W.Spivey,,,,Hoss
Hoss_WhiteAcrePea_2024,commercial,White Acre Pea,White Acre Pea,NA,,,2024,200,,W.Spivey,,,,Hoss
Hoss_WhiteAcrePea_2026,commercial,White Acre Pea,White Acre Pea,NA,,,2026,,453,W.Spivey,,,,Hoss
KellySeedDillon_CoronetPinkeyePurplehull_2024,commercial,Coronet Pinkeye Purplehull,Coronet Pinkeye Purplehull,NA,,,2025,,2268,W.Spivey,,,,Kelly Seed Dillon
KellySeedDillon_DixieLeaPea_2024,commercial,Dixie Lee Pea,Dixie Lee Pea,NA,,,2025,,2268,W.Spivey,,,,Kelly Seed Dillon
SCCropImprovement_ClemsonPurple_2025,commercial,Clemson Purple,Clemson Purple,NA,,,2025,135,,W.Spivey,,,,SC Crop Improvement
SCCropImprovement_Colossus80_2025,commercial,Colossus 80,Colossus 80,NA,,,2025,70,,W.Spivey,,,,SC Crop Improvement
SCCropImprovement_OgleSouthernPea_2025,commercial,Ogle Southern Pea,Ogle Southern Pea,NA,,,2025,359,,W.Spivey,,,,SC Crop Improvement
SouthernExposureSeedExchange_Bettersnap_2025,commercial,Bettersnap,Bettersnap,NA,,,2025,75,11.02,W.Spivey,,,some seed discoloration/damage,Southern Exposure Seed Exchange
SouthernExposureSeedExchange_BigRedRipper_2025,commercial,Big Red Ripper,Big Red Ripper,NA,,,2025,107,24.8,W.Spivey,,,,Southern Exposure Seed Exchange
SouthernExposureSeedExchange_BigRedRipper_2026,commercial,Big Red Ripper,Big Red Ripper,NA,,,2026,338,53.65,W.Spivey,,,,Southern Exposure Seed Exchange
SouthernExposureSeedExchange_CarolinaCrowder_2025,commercial,Carolina Crowder,Carolina Crowder,NA,,,2025,111,35.38,W.Spivey,,,,Southern Exposure Seed Exchange
SouthernExposureSeedExchange_GreenDixieBlackeye_2025,commercial,Green Dixie Blackeye,Green Dixie Blackeye,NA,,,2025,304,50.83,W.Spivey,,,,Southern Exposure Seed Exchange
SouthernExposureSeedExchange_GreenDixieBlackeye_2026,commercial,Green Dixie Blackeye,Green Dixie Blackeye,NA,,,2026,366,57.26,W.Spivey,,,,Southern Exposure Seed Exchange
SouthernExposureSeedExchange_Hercules_2025,commercial,Hercules,Hercules,NA,,,2025,26,5.92,W.Spivey,,,,Southern Exposure Seed Exchange
SouthernExposureSeedExchange_Hercules_2026,commercial,Hercules,Hercules,NA,,,2026,202,56.59,W.Spivey,,,,Southern Exposure Seed Exchange
SouthernExposureSeedExchange_IronClay_2026,commercial,Iron Clay,Iron Clay,NA,,,2026,,114,W.Spivey,,,,
SouthernExposureSeedExchange_KiawahPinkeyePurpleHull_2025,commercial,Kiawah Pinkeye Purple Hull,Kiawah Pinkeye Purple Hull,NA,,,2025,353,70,W.Spivey,,,,Southern Exposure Seed Exchange
SouthernExposureSeedExchange_KiawahPinkeyePurpleHull_2026,commercial,Kiawah Pinkeye Purple Hull,Kiawah Pinkeye Purple Hull,NA,,,2026,311,56.06,W.Spivey,,,,Southern Exposure Seed Exchange
SouthernExposureSeedExchange_Knucklehull-VNR_2025,commercial,Knucklehull-VNR,Knucklehull-VNR,NA,,,2025,213,37.15,W.Spivey,,,,Southern Exposure Seed Exchange
SouthernExposureSeedExchange_Knucklehull-VNR_2026,commercial,Knucklehull-VNR,Knucklehull-VNR,NA,,,2026,295,55.2,W.Spivey,,,,Southern Exposure Seed Exchange
SouthernExposureSeedExchange_PapagoTohonoO'odham _2025,commercial,Papago Tohono O'odham,Papago Tohono O'odham,NA,,,2025,405,57,W.Spivey,,,,Southern Exposure Seed Exchange
SouthernExposureSeedExchange_ZipperCream_2025,commercial,Zipper Cream,Zipper Cream,NA,,,2025,73,16.35,W.Spivey,,,,Southern Exposure Seed Exchange
SouthernExposureSeedExchange_ZipperCream_2026,commercial,Zipper Cream,Zipper Cream,NA,,,2026,385,57.7,W.Spivey,,,,Southern Exposure Seed Exchange
UCR_MinicoreUCR_001_2025,UCR_mini_core,1393-1-2-3(-),,MinicoreUCR_001,,4887,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_002_2025,UCR_mini_core,24-125-B-1,,MinicoreUCR_002,1,4888,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_003_2025,UCR_mini_core,524B,524-B,MinicoreUCR_003,,4889,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_004_2025,UCR_mini_core,58-53,,MinicoreUCR_004,1,4890,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_005_2025,UCR_mini_core,58-57,,MinicoreUCR_005,,4891,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_006_2025,UCR_mini_core,Apagbaala,,MinicoreUCR_006,,4892,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_007_2025,UCR_mini_core,Bambey_21,Bambey 21,MinicoreUCR_007,,4893,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_008_2025,UCR_mini_core,Bun_22_Ghana,Bun 22 Ghana,MinicoreUCR_008,1,4894,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_010_2025,UCR_mini_core,Cameroon_12-58,Cameroon 12-58,MinicoreUCR_010,,4896,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_011_2025,UCR_mini_core,Cameroon_7-29,Cameroon 7-29,MinicoreUCR_011,1,4897,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_012_2025,UCR_mini_core,CB27,,MinicoreUCR_012,,4898,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_013_2025,UCR_mini_core,CB3,,MinicoreUCR_013,,4899,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_014_2025,UCR_mini_core,CB5-2,CB46 (but wrong),MinicoreUCR_014,,4900,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_020_2025,UCR_mini_core,China_501,China 501,MinicoreUCR_020,,4906,2025,5,,W.Spivey,,,,
